Year,Employee Number,Part time,Salary,Hourly
2024,1,No,105300.0,54.0
2024,2,No,72800.0,40.0
2024,3,No,54600.0,30.0
2024,4,Yes,,30.0
2024,5,No,50960.0,28.0
2024,6,Yes,,28.0
2024,7,Yes,,28.0
2024,8,Yes,,28.0
2024,9,No,50960.0,28.0
2024,10,No,36400.0,20.0
2024,11,Yes,,20.0
2024,12,No,50960.0,28.0
2024,13,No,54600.0,30.0
2024,14,No,54600.0,30.0
2024,15,No,50960.0,28.0
2024,16,No,41860.0,23.0
2024,17,No,45500.0,25.0
2024,18,No,32760.0,18.0
2024,19,No,32760.0,18.0
2024,20,Yes,,18.0
2024,21,Yes,,18.0
2024,22,Yes,,18.0
2024,23,Yes,,18.0
2024,24,No,45500.0,25.0
2024,25,No,41860.0,23.0
2024,26,No,32760.0,18.0
2024,27,No,36400.0,20.0
2024,28,No,32760.0,18.0
2024,29,No,27300.0,15.0
2024,30,Yes,,15.0
2024,31,Yes,,15.0
